"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
1233,1233,1044,1044,970,970,901,901,829,741,716
1269,1269,1167,1045,1035,995,957,912,830,829,733
1372,1372,1233,1167,1044,1015,970,915,833,830,739
1373,1373,1234,1233,1045,1035,971,924,901,831,741
1429,1429,1269,1234,1048,1037,972,957,912,832,817
1430,1430,1357,1269,1049,1044,973,965,915,833,829
1433,1433,1372,1357,1164,1045,974,968,924,860,830
1467,1467,1373,1372,1167,1048,993,970,957,901,831
1546,1546,1429,1373,1189,1049,995,971,965,912,832
1626,1626,1430,1429,1233,1053,1015,972,968,915,833
1671,1671,1433,1430,1234,1164,1028,973,970,924,860
1689,1689,1467,1433,1269,1167,1029,974,971,932,901
1698,1698,1546,1467,1357,1189,1035,993,972,957,912
1714,1714,1626,1546,1372,1233,1037,995,973,962,915
1731,1731,1671,1626,1373,1234,1044,1015,974,965,924
1732,1732,1689,1671,1377,1267,1045,1028,992,968,932
1767,1767,1698,1689,1378,1269,1048,1029,993,970,957
1801,1801,1714,1698,1429,1357,1049,1035,995,971,962
1817,1817,1731,1714,1430,1372,1053,1037,1015,972,965
1834,1834,1732,1731,1433,1373,1164,1044,1028,973,968
1863,1863,1767,1732,1467,1377,1167,1045,1029,974,970
1868,1868,1801,1767,1546,1378,1189,1048,1035,992,971
1934,1934,1817,1801,1626,1429,1233,1049,1037,993,972
0,0,1834,1817,1671,1430,1234,1052,1044,995,973
0,0,1863,1834,1689,1433,1267,1053,1045,1015,974
0,0,1868,1863,1698,1467,1269,1075,1048,1028,992
0,0,1934,1868,1714,1546,1357,1164,1049,1029,993
0,0,0,1934,1731,1626,1372,1167,1052,1035,995
0,0,0,0,1732,1671,1373,1189,1053,1037,1015
0,0,0,0,1767,1689,1377,1233,1075,1044,1028
0,0,0,0,1801,1698,1378,1234,1164,1045,1029
0,0,0,0,1817,1714,1429,1238,1167,1048,1035
0,0,0,0,1834,1731,1430,1267,1170,1049,1037
0,0,0,0,1863,1732,1433,1269,1189,1052,1044
0,0,0,0,1868,1767,1467,1357,1192,1053,1045
0,0,0,0,1934,1801,1546,1367,1233,1075,1048
0,0,0,0,0,1817,1626,1372,1234,1164,1049
